Type,Strategy,Query,Generated Answer,Reference Answer,Latency (s),BLEU,ROUGE-1,ROUGE-L,Context
Text,Zero-shot,What is the vision of the university?,"Based on the provided context, I was able to find the following information:

[PDF: 3. FYP-Handbook-2023.pdf, Page: 13, Type: ocr]: ""Our vision is to become a leading university in innovation and entrepreneurship, providing high-quality education that prepares students for success in today's rapidly changing world.""

[PDF: 1. Annual Report 2023-24.pdf, Page: 68, Type: ocr]: ""Our vision is to be a leading university that fosters excellence in teaching, research, and service, and to inspire lifelong learning and personal growth in our students and alumni.""

[PDF: 1. Annual Report 2023-24.pdf, Page: 6, Type: ocr]: ""Our vision is to be a world-class university that provides innovative and relevant education, conducts groundbreaking research, and makes a positive impact on society through service and engagement.""","To produce world-class professionals, who are responsible citizens and good human beings.",7.5735,0.0,0.0699,0.0559,"[PDF: 3. FYP-Handbook-2023.pdf, Page: 13, Type: ocr] the university:  [PDF: 1. Annual Report 2023-24..."
Text,Few-shot,What is the vision of the university?,Answer: The vision of the university is not provided in the context you have given me. Could you please provide more information or a different context that includes the university's vision?,"To produce world-class professionals, who are responsible citizens and good human beings.",0.8933,0.0,0.0,0.0,"[PDF: 3. FYP-Handbook-2023.pdf, Page: 13, Type: ocr] the university:  [PDF: 1. Annual Report 2023-24..."
Text,Chain-of-Thought,What is the vision of the university?,"Based on the provided context:

1. From PDF: 3. FYP-Handbook-2023.pdf, Page: 13, Type: ocr, we can infer that the university is focusing on providing a wide range of fields for students to choose from.
2. From PDF: 1. Annual Report 2023-24.pdf, Page: 68, Type: ocr, we can see that the university aims to be a leading institution in research and innovation.
3. From PDF: 1. Annual Report 2023-24.pdf, Page: 6, Type: ocr, we can also infer that the university wants to provide a high-quality education for its students.

Therefore, based on the given context, we cannot determine the exact vision of the university as there is no clear statement in any of the provided PDFs. However, we can conclude that the university aims to be a leading institution in research and innovation while providing a wide range of fields and a high-quality education for its students.","To produce world-class professionals, who are responsible citizens and good human beings.",3.5965,0.0,0.0357,0.0357,"[PDF: 3. FYP-Handbook-2023.pdf, Page: 13, Type: ocr] the university:  [PDF: 1. Annual Report 2023-24..."
Text,Zero-shot,Who was the chief guest at the 76th Convocation?,"The Chief Guest at the 76th Convocation was [PDF: 1. Annual Report 2023-24.pdf, Page: 26, Type: ocr].","Mr. Mian Muhammad Mansha, Chairman Nishat Group, was the chief guest.",0.7727,0.0,0.2667,0.2,"[PDF: 1. Annual Report 2023-24.pdf, Page: 47, Type: ocr] Guest: The convocation was attended by our ..."
Text,Few-shot,Who was the chief guest at the 76th Convocation?,The chief guest at the 76th Convocation was not specified in the provided context.,"Mr. Mian Muhammad Mansha, Chairman Nishat Group, was the chief guest.",0.4691,0.0,0.32,0.24,"[PDF: 1. Annual Report 2023-24.pdf, Page: 47, Type: ocr] Guest: The convocation was attended by our ..."
Text,Chain-of-Thought,Who was the chief guest at the 76th Convocation?,"1. From the context, we know that the 76th Convocation of the University was attended by various people including the Campus Director and faculty members. 
2. However, there is no direct mention of who the chief guest was in this particular context.
3. Therefore, we cannot provide a definitive answer to this question based solely on the given information. 
4. If you have any additional information or context that can help us identify the chief guest at the 76th Convocation, please let me know and I'll do my best to assist you further.","Mr. Mian Muhammad Mansha, Chairman Nishat Group, was the chief guest.",1.9026,0.0,0.0762,0.0762,"[PDF: 1. Annual Report 2023-24.pdf, Page: 47, Type: ocr] Guest: The convocation was attended by our ..."
Text,Zero-shot,Which team won the Huawei ICT Innovation Global Competition 2022-23?,"I'm sorry, but I cannot provide an answer to your question. I do not have access to the relevant PDFs or information regarding the outcome of the Huawei ICT Innovation Global Competition 2022-23. Could you please provide more context or clarify your question?","The team comprising Minhal Zafar, Muhammad Shaheer, and Hyder Ali from FAST NUCES ISLAMABAD.",1.0496,0.0,0.0339,0.0339,"[PDF: 1. Annual Report 2023-24.pdf, Page: 31, Type: ocr] Huawei ICT Innovation Competition 2023-2024..."
Text,Few-shot,Which team won the Huawei ICT Innovation Global Competition 2022-23?,"According to page 26 of the ocr PDF file ""1. Annual Report 2023-24.pdf"", China was the team that won the Huawei ICT Innovation Global Competition 2022-23.","The team comprising Minhal Zafar, Muhammad Shaheer, and Hyder Ali from FAST NUCES ISLAMABAD.",0.9875,0.0,0.093,0.093,"[PDF: 1. Annual Report 2023-24.pdf, Page: 31, Type: ocr] Huawei ICT Innovation Competition 2023-2024..."
Text,Chain-of-Thought,Which team won the Huawei ICT Innovation Global Competition 2022-23?,"1. We know that the PDF document has several pages related to the Huawei ICT Innovation Competition 2023-24, including its annual report.
2. We need to find out which team won the competition in 2022-23.
3. To do this, we need to look at the previous year's annual report, since that should contain information about the winner of the previous year's competition.
4. From the PDF document, we can see that there are several references to previous years' competitions, including the 2022-23 competition. We can look for this competition's results in the annual report.
5. Unfortunately, we don't have access to the full text of the annual report as it is in OCR format, so we cannot find out which team won the 2022-23 competition directly from the PDF document. We would need more information or a different way to extract the data from the PDF.
6. As such, we cannot provide an answer to this question with the given context and limited information.","The team comprising Minhal Zafar, Muhammad Shaheer, and Hyder Ali from FAST NUCES ISLAMABAD.",3.4956,0.0,0.043,0.0323,"[PDF: 1. Annual Report 2023-24.pdf, Page: 31, Type: ocr] Huawei ICT Innovation Competition 2023-2024..."
Text,Zero-shot,Describe the location of the Chiniot-Faisalabad Campus.,"Based on the provided context, it appears that the location of the Chiniot-Faisalabad Campus is in Faisalabad, Pakistan.","It is situated at the junction of Faisalabad and Chiniot, spanning around 30 acres along the Faisalabad Sargodha Road, approximately 9 kilometers from the M4 Motorway interchange.",0.6176,0.0,0.3913,0.2174,"[PDF: 1. Annual Report 2023-24.pdf, Page: 2, Type: ocr] CHINIOT-FAISALABAD Campus  [PDF: 1. Annual R..."
